Den;Datum;Zaèátek;ZS;Soutìž;ÈU;Domácí;Hosté;Stav
So;22.11.2025;14:30;DO;"S2T PLK";PM2030;"HC Domažlice ";"HC Klatovy ";0:0
So;22.11.2025;18:20;ML;"KLM KPK";P0277;"HC Mariánské Láznì ";"HC Klatovy ";2:12
Ne;23.11.2025;12:15;SO;"LMŽ B";K5064;"HC Baník Sokolov B";"HC Klatovy B";10:9
Ne;23.11.2025;12:25;RO;RLJ;C1116;"HC Rokycany z.s. ";"HC Klatovy ";4:1
Ne;23.11.2025;14:30;CH;"LMŽ B";K5068;"HC Stadion Cheb ";"HC Klatovy ";6:8
Ne;23.11.2025;17:45;DO;"KSM PLK";P0137;"HC Staòkov ";"HC Klatovy";2:8
Èt;27.11.2025;16:55;KT;"LSŽ B";P7026;"HC Klatovy ";"HC ŠKODA PLZEÒ B";"Kontumace H"
So;29.11.2025;13:00;TM;"LSŽ B";P7029;"HC Meteor Tøemošná ";"HC Klatovy ";14:0
Ne;30.11.2025;14:25;PB;RLSD;P3108;"HC Pøíbram B";"HC Klatovy ";2:3
Èt;04.12.2025;18:15;PT;"KSM PLK";P0146;"HC SAXANA Group z.s. ";"HC Klatovy";4:1
So;06.12.2025;11:10;ML;"LMŽ B";K5083;"HC Mariánské Láznì ";"HC Klatovy ";4:14
So;06.12.2025;12:00;KY;"LMŽ B";K5079;"HC Energie Karlovy Vary B";"HC Klatovy B";5:7
So;06.12.2025;13:55;SB;RLJ;C1130;"HC Tábor B";"HC Klatovy ";5:1
So;06.12.2025;19:15;SO;"KLM KPK";P0284;"HC Baník Sokolov B";"HC Klatovy ";5:7
Ne;07.12.2025;12:00;SO;"S2T PLK";PM2041;"HC Klatovy ";"HC ŠKODA PLZEÒ ";0:0
Ne;07.12.2025;13:00;SO;"S2T PLK";PM2040;"HC Baník Sokolov ";"HC Klatovy ";0:0
Po;08.12.2025;18:00;RO;"LSŽ B";P7038;"HC Rokycany z.s. ";"HC Klatovy ";6:2
Út;09.12.2025;17:00;RO;RLSD;P3121;"HC Rokycany z.s. ";"HC Klatovy ";5:2
Pá;12.12.2025;18:30;BE;RLJ;C1139;"HC Berounští Medvìdi ";"HC Klatovy ";2:9
So;13.12.2025;11:00;RO;"S3T PLK";PM3040;"HC Rokycany z.s. ";"HC Klatovy ";0:0
So;13.12.2025;12:00;BE;RLSD;P3128;"HC Berounští Medvìdi ";"HC Klatovy ";8:1
So;13.12.2025;12:00;RO;"S3T PLK";PM3041;"HC Klatovy ";"HC Meteor Tøemošná ";0:0
Ne;14.12.2025;12:00;PL;"S4T PLK";PM4039;"HC ŠKODA PLZEÒ ";"HC Klatovy ";0:0
Ne;14.12.2025;13:00;PL;"S4T PLK";PM4038;"HC Tachov ";"HC Klatovy ";0:0
